Fecha,Valor,Sensor_Id,Hora,DiaSemana
2025-08-17 04:30:00,18.93,11,4,Sunday
2025-08-17 04:35:00,76.33,11,4,Sunday
2025-08-17 04:40:00,60.2,11,4,Sunday
2025-08-17 04:45:00,56.31,11,4,Sunday
2025-08-17 04:50:00,64.6,11,4,Sunday
2025-08-17 04:55:00,39.01,11,4,Sunday
2025-08-17 05:00:00,40.74,11,5,Sunday
2025-08-17 05:05:00,48.3,11,5,Sunday
2025-08-17 05:10:00,25.36,11,5,Sunday
2025-08-17 05:15:00,49.6,11,5,Sunday
2025-08-17 05:20:00,80.3,11,5,Sunday
2025-08-17 05:25:00,52.16,11,5,Sunday
2025-08-17 05:30:00,32.35,11,5,Sunday
2025-08-17 05:35:00,87.81,11,5,Sunday
2025-08-17 05:40:00,76.6,11,5,Sunday
2025-08-17 05:45:00,82.05,11,5,Sunday
2025-08-17 05:50:00,41.28,11,5,Sunday
2025-08-17 05:55:00,57.41,11,5,Sunday
2025-08-17 06:00:00,56.67,11,6,Sunday
2025-08-17 06:05:00,65.24,11,6,Sunday
2025-08-17 06:10:00,53.66,11,6,Sunday
2025-08-17 06:15:00,49.54,11,6,Sunday
2025-08-17 06:20:00,77.26,11,6,Sunday
2025-08-17 06:25:00,81.44,11,6,Sunday
2025-08-17 06:30:00,55.76,11,6,Sunday
2025-08-17 06:35:00,62.99,11,6,Sunday
2025-08-17 06:40:00,72.39,11,6,Sunday
2025-08-17 06:45:00,17.31,11,6,Sunday
2025-08-17 06:50:00,53.18,11,6,Sunday
2025-08-17 06:55:00,65.28,11,6,Sunday
2025-08-17 07:00:00,70.96,11,7,Sunday
2025-08-17 07:05:00,72.31,11,7,Sunday
2025-08-17 07:10:00,35.36,11,7,Sunday
2025-08-17 07:15:00,46.74,11,7,Sunday
2025-08-17 07:20:00,36.38,11,7,Sunday
2025-08-17 07:25:00,59.89,11,7,Sunday
2025-08-17 07:30:00,42.28,11,7,Sunday
2025-08-17 07:35:00,48.96,11,7,Sunday
2025-08-17 07:40:00,50.67,11,7,Sunday
2025-08-17 07:45:00,55.24,11,7,Sunday
2025-08-17 07:50:00,29.18,11,7,Sunday
2025-08-17 07:55:00,41.96,11,7,Sunday
2025-08-17 08:00:00,32.37,11,8,Sunday
2025-08-17 08:05:00,50.45,11,8,Sunday
2025-08-17 08:10:00,26.06,11,8,Sunday
2025-08-17 08:15:00,23.36,11,8,Sunday
2025-08-17 08:20:00,53.24,11,8,Sunday
2025-08-17 08:25:00,51.52,11,8,Sunday
2025-08-17 08:30:00,52.84,11,8,Sunday
2025-08-17 08:35:00,38.39,11,8,Sunday
2025-08-17 08:40:00,38.67,11,8,Sunday
2025-08-17 08:45:00,63.14,11,8,Sunday
2025-08-17 08:50:00,63.46,11,8,Sunday
2025-08-17 08:55:00,28.74,11,8,Sunday
2025-08-17 09:00:00,67.34,11,9,Sunday
2025-08-17 09:05:00,29.63,11,9,Sunday
2025-08-17 09:10:00,37.42,11,9,Sunday
2025-08-17 09:15:00,28.27,11,9,Sunday
